---------------------------------------------------------------------------------------------------
Date: 5/26/2026 -- 11:40:47 (uptime: 0d, 00h 00m 27s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 781
decoder.bytes                                                | Total                     | 135625
decoder.ipv4                                                 | Total                     | 749
decoder.ipv6                                                 | Total                     | 32
decoder.null                                                 | Total                     | 781
decoder.tcp                                                  | Total                     | 710
tcp.syn                                                      | Total                     | 37
tcp.synack                                                   | Total                     | 37
tcp.rst                                                      | Total                     | 1
decoder.udp                                                  | Total                     | 71
decoder.avg_pkt_size                                         | Total                     | 173
decoder.max_pkt_size                                         | Total                     | 1560
flow.total                                                   | Total                     | 51
flow.tcp                                                     | Total                     | 37
flow.udp                                                     | Total                     | 14
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
flow.wrk.flows_evicted_needs_work                            | Total                     | 37
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 74
flow.wrk.flows_injected                                      | Total                     | 37
tcp.sessions                                                 | Total                     | 37
tcp.ssn_from_pool                                            | Total                     | 37
tcp.segment_from_cache                                       | Total                     | 137
tcp.segment_from_pool                                        | Total                     | 108
detect.alerts_suppressed                                     | Total                     | 16
app_layer.flow.http                                          | Total                     | 1
app_layer.tx.http                                            | Total                     | 1
app_layer.flow.tls                                           | Total                     | 18
app_layer.flow.dcerpc_tcp                                    | Total                     | 16
app_layer.flow.mdns                                          | Total                     | 4
app_layer.flow.failed_udp                                    | Total                     | 10
app_layer.tx.mdns                                            | Total                     | 48
flow.end.state.new                                           | Total                     | 14
flow.end.state.established                                   | Total                     | 33
flow.end.state.closed                                        | Total                     | 4
flow.end.tcp_state.established                               | Total                     | 17
flow.end.tcp_state.close_wait                                | Total                     | 16
flow.end.tcp_state.closed                                    | Total                     | 4
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 31
flow.mgr.flows_notimeout                                     | Total                     | 31
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 14
flow.recycler.queue_max                                      | Total                     | 14
tcp.memuse                                                   | Total                     | 622592
tcp.reassembly_memuse                                        | Total                     | 114688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
