---------------------------------------------------------------------------------------------------
Date: 5/26/2026 -- 06:32:18 (uptime: 0d, 00h 00m 00s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 129
decoder.bytes                                                | Total                     | 7820
decoder.ipv4                                                 | Total                     | 129
decoder.null                                                 | Total                     | 129
decoder.tcp                                                  | Total                     | 129
tcp.syn                                                      | Total                     | 13
tcp.synack                                                   | Total                     | 13
tcp.rst                                                      | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 60
decoder.max_pkt_size                                         | Total                     | 145
flow.total                                                   | Total                     | 13
flow.tcp                                                     | Total                     | 13
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
flow.wrk.flows_evicted_needs_work                            | Total                     | 12
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 19
flow.wrk.flows_injected                                      | Total                     | 12
tcp.sessions                                                 | Total                     | 13
tcp.ssn_from_pool                                            | Total                     | 13
tcp.segment_from_cache                                       | Total                     | 2
tcp.segment_from_pool                                        | Total                     | 23
app_layer.flow.http                                          | Total                     | 1
app_layer.tx.http                                            | Total                     | 1
app_layer.flow.tls                                           | Total                     | 2
flow.end.state.established                                   | Total                     | 1
flow.end.state.closed                                        | Total                     | 12
flow.end.tcp_state.established                               | Total                     | 1
flow.end.tcp_state.closed                                    | Total                     | 12
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 3
flow.mgr.flows_notimeout                                     | Total                     | 3
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 622592
tcp.reassembly_memuse                                        | Total                     | 114688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
