---------------------------------------------------------------------------------------------------
Date: 5/24/2026 -- 17:19:33 (uptime: 0d, 00h 00m 01s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 1485
decoder.bytes                                                | Total                     | 329643
decoder.ipv4                                                 | Total                     | 1485
decoder.null                                                 | Total                     | 1485
decoder.tcp                                                  | Total                     | 1485
tcp.syn                                                      | Total                     | 69
tcp.synack                                                   | Total                     | 69
decoder.avg_pkt_size                                         | Total                     | 221
decoder.max_pkt_size                                         | Total                     | 1478
flow.total                                                   | Total                     | 69
flow.tcp                                                     | Total                     | 69
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
flow.wrk.flows_evicted_needs_work                            | Total                     | 69
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 137
flow.wrk.flows_injected                                      | Total                     | 69
tcp.sessions                                                 | Total                     | 69
tcp.ssn_from_pool                                            | Total                     | 69
tcp.segment_from_cache                                       | Total                     | 162
tcp.segment_from_pool                                        | Total                     | 187
app_layer.flow.failed_tcp                                    | Total                     | 32
app_layer.flow.http                                          | Total                     | 1
app_layer.tx.http                                            | Total                     | 1
app_layer.flow.tls                                           | Total                     | 2
app_layer.flow.dcerpc_tcp                                    | Total                     | 32
flow.end.state.established                                   | Total                     | 65
flow.end.state.closed                                        | Total                     | 4
flow.end.tcp_state.established                               | Total                     | 33
flow.end.tcp_state.close_wait                                | Total                     | 32
flow.end.tcp_state.closed                                    | Total                     | 4
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 36
flow.mgr.flows_notimeout                                     | Total                     | 36
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 622592
tcp.reassembly_memuse                                        | Total                     | 114688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
