---------------------------------------------------------------------------------------------------
Date: 5/26/2026 -- 11:38:05 (uptime: 0d, 00h 00m 26s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 3814
decoder.bytes                                                | Total                     | 2140701
decoder.ipv4                                                 | Total                     | 3813
decoder.ipv6                                                 | Total                     | 1
decoder.null                                                 | Total                     | 3814
decoder.tcp                                                  | Total                     | 3811
tcp.syn                                                      | Total                     | 45
tcp.synack                                                   | Total                     | 45
decoder.udp                                                  | Total                     | 3
decoder.avg_pkt_size                                         | Total                     | 561
decoder.max_pkt_size                                         | Total                     | 65539
flow.total                                                   | Total                     | 48
flow.tcp                                                     | Total                     | 45
flow.udp                                                     | Total                     | 3
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
flow.wrk.flows_evicted_needs_work                            | Total                     | 43
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 86
flow.wrk.flows_injected                                      | Total                     | 43
tcp.sessions                                                 | Total                     | 45
tcp.ssn_from_pool                                            | Total                     | 45
tcp.pseudo                                                   | Total                     | 4
tcp.segment_from_cache                                       | Total                     | 1378
tcp.segment_from_pool                                        | Total                     | 151
tcp.stream_depth_reached                                     | Total                     | 1
detect.alert                                                 | Total                     | 30
detect.alerts_suppressed                                     | Total                     | 98
app_layer.flow.failed_tcp                                    | Total                     | 19
app_layer.flow.http                                          | Total                     | 3
app_layer.tx.http                                            | Total                     | 3
app_layer.flow.tls                                           | Total                     | 2
app_layer.flow.dcerpc_tcp                                    | Total                     | 19
app_layer.flow.websocket                                     | Total                     | 1
app_layer.tx.websocket                                       | Total                     | 1220
app_layer.flow.mdns                                          | Total                     | 2
app_layer.flow.failed_udp                                    | Total                     | 1
app_layer.tx.mdns                                            | Total                     | 2
flow.end.state.new                                           | Total                     | 3
flow.end.state.established                                   | Total                     | 39
flow.end.state.closed                                        | Total                     | 6
flow.end.tcp_state.established                               | Total                     | 20
flow.end.tcp_state.close_wait                                | Total                     | 19
flow.end.tcp_state.closed                                    | Total                     | 6
flow.mgr.full_hash_pass                                      | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 31
flow.mgr.flows_notimeout                                     | Total                     | 31
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 5
tcp.memuse                                                   | Total                     | 622592
tcp.reassembly_memuse                                        | Total                     | 114688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
