#flow_id,protocol,first_seen,last_seen,duration,src_ip,src_port,dst_ip,dst_port,ndpi_proto_num,ndpi_proto,server_name_sni,c_to_s_pkts,c_to_s_bytes,c_to_s_goodput_bytes,s_to_c_pkts,s_to_c_bytes,s_to_c_goodput_bytes,data_ratio,str_data_ratio,c_to_s_goodput_ratio,s_to_c_goodput_ratio,iat_flow_min,iat_flow_avg,iat_flow_max,iat_flow_stddev,iat_c_to_s_min,iat_c_to_s_avg,iat_c_to_s_max,iat_c_to_s_stddev,iat_s_to_c_min,iat_s_to_c_avg,iat_s_to_c_max,iat_s_to_c_stddev,pktlen_c_to_s_min,pktlen_c_to_s_avg,pktlen_c_to_s_max,pktlen_c_to_s_stddev,pktlen_s_to_c_min,pktlen_s_to_c_avg,pktlen_s_to_c_max,pktlen_s_to_c_stddev,cwr,ece,urg,ack,psh,rst,syn,fin,c_to_s_cwr,c_to_s_ece,c_to_s_urg,c_to_s_ack,c_to_s_psh,c_to_s_rst,c_to_s_syn,c_to_s_fin,s_to_c_cwr,s_to_c_ece,s_to_c_urg,s_to_c_ack,s_to_c_psh,s_to_c_rst,s_to_c_syn,s_to_c_fin,c_to_s_init_win,s_to_c_init_win,server_info,tls_version,ja3c,tls_client_unsafe,ja3s,tls_server_unsafe,tls_alpn,tls_supported_versions,ssh_client_hassh,ssh_server_hassh,flow_info,plen_bins
1,6,1779777158.120,1779777173.121,15.001,127.0.0.1,59925,127.0.0.1,8443,91.212,TLS.Microsoft,www.microsoft.com,10,1327,799,9,1984,1520,-0.198,Mixed,60.2,76.6,1,7499.0,14997,7498.0,0,1874.8,14997,4959.7,0,2999.6,14997,5998.7,52,132.7,621,166.7,40,220.4,1548,469.4,0,0,0,18,7,1,2,1,0,0,0,9,5,0,1,0,0,0,0,18,7,1,2,1,60,60,,TLSv1.3,698ddca12b59436c27d028f9106a6b06,OK,f4febc55ea12b31ae17cfb7e614afda8,OK,h2;http/1.1,,,,h2;http/1.1,42;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0
7,6,1779777174.076,1779777174.079,0.003,127.0.0.1,65413,127.0.0.1,8443,91.212,TLS.Microsoft,www.microsoft.com,7,1179,807,6,1816,1496,-0.213,Download,68.4,82.3,1,1.0,1,0.0,0,0.2,1,0.4,0,0.2,1,0.4,52,168.4,653,201.8,52,302.7,1548,556.9,0,0,0,12,5,0,2,0,0,0,0,6,4,0,1,0,0,0,0,12,5,0,2,0,60,60,,TLSv1.3,d987d8d5a73c3b99ecf5715c25731af3,OK,f4febc55ea12b31ae17cfb7e614afda8,OK,h2;http/1.1,,,,h2;http/1.1,20;0;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0
6,6,1779777173.969,1779777178.978,5.009,127.0.0.1,65412,127.0.0.1,9080,172,SOCKS,,6,341,21,5,270,2,0.116,Mixed,6.1,0.7,5008,5008.0,5008,0.0,5008,1001.6,5008,2003.2,0,0.0,0,0.0,52,56.8,70,6.5,52,54.0,60,3.1,0,0,0,10,3,0,2,1,0,0,0,5,2,0,1,1,0,0,0,10,3,0,2,1,60,60,,0,,0,,0,,,,,,100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,6,1779777168.759,1779777183.760,15.001,127.0.0.1,41248,127.0.0.1,8443,91.212,TLS.Microsoft,www.microsoft.com,10,1359,831,9,1984,1520,-0.187,Mixed,61.1,76.6,1,7499.5,14998,7498.5,0,1874.9,14998,4960.1,0,2999.8,14998,5999.1,52,135.9,653,176.1,40,220.4,1548,469.4,0,0,0,18,7,1,2,1,0,0,0,9,5,0,1,0,0,0,0,18,7,1,2,1,60,60,,TLSv1.3,6d2c66647fdccb2f10be82921860b3eb,OK,f4febc55ea12b31ae17cfb7e614afda8,OK,h2;http/1.1,,,,h2;http/1.1,42;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0
4,6,1779777168.652,1779777183.760,15.108,127.0.0.1,41247,127.0.0.1,9080,172,SOCKS,,7,381,21,6,332,12,0.069,Mixed,5.5,3.6,5000,7553.0,10106,2553.0,5000,1000.0,5000,2000.0,10106,2526.5,10106,4376.0,40,54.4,70,8.4,52,55.3,62,4.1,0,0,0,12,4,1,2,1,0,0,0,6,2,1,1,1,0,0,0,12,4,1,2,1,60,60,,0,,0,,0,,,,,,100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10,6,1779777182.338,1779777182.338,0.000,127.0.0.1,45542,127.0.0.1,8443,91,TLS,127.0.0.1,5,345,89,4,283,67,0.099,Mixed,25.7,23.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40,69.0,141,36.6,52,70.8,113,24.6,0,0,0,8,3,1,2,0,0,0,0,4,1,1,1,0,0,0,0,8,3,1,2,0,60,60,,TLSv1.3,c36487a186a3815cca7e6997088b9efa,OK,f4febc55ea12b31ae17cfb7e614afda8,OK,,,,,,33;33;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11,6,1779777182.339,1779777182.434,0.095,127.0.0.1,45544,127.0.0.1,8443,7,HTTP,127.0.0.1,5,322,54,4,216,0,0.197,Mixed,16.7,0.0,94,94.0,94,0.0,0,23.5,94,40.7,0,0.0,0,0.0,52,64.4,106,21.0,52,54.0,60,3.5,0,0,0,8,1,0,2,2,0,0,0,4,1,0,1,1,0,0,0,8,1,0,2,2,60,60,,0,,0,,0,,,,,,0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,6,1779777157.980,1779777173.121,15.141,127.0.0.1,56121,127.0.0.1,9080,172,SOCKS,,7,381,21,6,332,12,0.069,Mixed,5.5,3.6,13,5046.7,10124,4127.9,0,1003.2,5003,1999.9,0,2534.2,10124,4381.9,40,54.4,70,8.4,52,55.3,62,4.1,0,0,0,12,4,1,2,1,0,0,0,6,2,1,1,1,0,0,0,12,4,1,2,1,60,60,,0,,0,,0,,,,,,100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,6,1779777163.336,1779777178.337,15.001,127.0.0.1,41245,127.0.0.1,8443,91.212,TLS.Microsoft,www.microsoft.com,10,1295,767,9,1984,1520,-0.210,Download,59.2,76.6,1,7499.5,14998,7498.5,0,1874.9,14998,4960.1,0,2999.8,14998,5999.1,52,129.5,589,157.3,40,220.4,1548,469.4,0,0,0,18,7,1,2,1,0,0,0,9,5,0,1,0,0,0,0,18,7,1,2,1,60,60,,TLSv1.3,ac2b273bee9c8ad86301cb82ac99c795,OK,f4febc55ea12b31ae17cfb7e614afda8,OK,h2;http/1.1,,,,h2;http/1.1,42;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0
2,6,1779777163.309,1779777178.337,15.028,127.0.0.1,41244,127.0.0.1,9080,172,SOCKS,,7,381,21,6,332,12,0.069,Mixed,5.5,3.6,13,5008.7,10000,4077.2,0,1005.2,5013,2003.9,0,2503.2,10000,4328.3,40,54.4,70,8.4,52,55.3,62,4.1,0,0,0,12,4,1,2,1,0,0,0,6,2,1,1,1,0,0,0,12,4,1,2,1,60,60,,0,,0,,0,,,,,,100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
