---------------------------------------------------------------------------------------------------
Date: 5/26/2026 -- 06:33:06 (uptime: 0d, 00h 00m 00s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 159
decoder.bytes                                                | Total                     | 18657
decoder.ipv4                                                 | Total                     | 159
decoder.null                                                 | Total                     | 159
decoder.tcp                                                  | Total                     | 159
tcp.syn                                                      | Total                     | 13
tcp.synack                                                   | Total                     | 13
tcp.rst                                                      | Total                     | 7
decoder.avg_pkt_size                                         | Total                     | 117
decoder.max_pkt_size                                         | Total                     | 1552
flow.total                                                   | Total                     | 13
flow.tcp                                                     | Total                     | 13
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
flow.wrk.flows_evicted_needs_work                            | Total                     | 13
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 22
flow.wrk.flows_injected                                      | Total                     | 13
tcp.sessions                                                 | Total                     | 13
tcp.ssn_from_pool                                            | Total                     | 13
tcp.segment_from_cache                                       | Total                     | 25
tcp.segment_from_pool                                        | Total                     | 22
detect.alerts_suppressed                                     | Total                     | 4
app_layer.flow.http                                          | Total                     | 1
app_layer.tx.http                                            | Total                     | 1
app_layer.flow.tls                                           | Total                     | 6
flow.end.state.established                                   | Total                     | 3
flow.end.state.closed                                        | Total                     | 10
flow.end.tcp_state.established                               | Total                     | 2
flow.end.tcp_state.close_wait                                | Total                     | 1
flow.end.tcp_state.closed                                    | Total                     | 10
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 622592
tcp.reassembly_memuse                                        | Total                     | 114688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
