#flow_id,protocol,first_seen,last_seen,duration,src_ip,src_port,dst_ip,dst_port,ndpi_proto_num,ndpi_proto,server_name_sni,c_to_s_pkts,c_to_s_bytes,c_to_s_goodput_bytes,s_to_c_pkts,s_to_c_bytes,s_to_c_goodput_bytes,data_ratio,str_data_ratio,c_to_s_goodput_ratio,s_to_c_goodput_ratio,iat_flow_min,iat_flow_avg,iat_flow_max,iat_flow_stddev,iat_c_to_s_min,iat_c_to_s_avg,iat_c_to_s_max,iat_c_to_s_stddev,iat_s_to_c_min,iat_s_to_c_avg,iat_s_to_c_max,iat_s_to_c_stddev,pktlen_c_to_s_min,pktlen_c_to_s_avg,pktlen_c_to_s_max,pktlen_c_to_s_stddev,pktlen_s_to_c_min,pktlen_s_to_c_avg,pktlen_s_to_c_max,pktlen_s_to_c_stddev,cwr,ece,urg,ack,psh,rst,syn,fin,c_to_s_cwr,c_to_s_ece,c_to_s_urg,c_to_s_ack,c_to_s_psh,c_to_s_rst,c_to_s_syn,c_to_s_fin,s_to_c_cwr,s_to_c_ece,s_to_c_urg,s_to_c_ack,s_to_c_psh,s_to_c_rst,s_to_c_syn,s_to_c_fin,c_to_s_init_win,s_to_c_init_win,server_info,tls_version,ja3c,tls_client_unsafe,ja3s,tls_server_unsafe,tls_alpn,tls_supported_versions,ssh_client_hassh,ssh_server_hassh,flow_info,plen_bins
23,6,1779795522.521,1779795525.857,3.336,127.0.0.1,11202,127.0.0.1,443,91,TLS,www.cloudflare.com,11,1728,1148,10,2650,2122,-0.211,Download,66.4,80.0,1,1111.0,3154,1446.4,0,22.4,178,58.8,0,416.6,3154,1036.3,52,157.1,718,191.0,52,265.0,1548,452.2,0,0,0,20,9,0,2,0,0,0,0,10,5,0,1,0,0,0,0,20,9,0,2,0,60,60,,TLSv1.3,b5001237acdf006056b409cc433726b0,OK,f4febc55ea12b31ae17cfb7e614afda8,OK,h2;http/1.1,,,,h2;http/1.1,11;0;22;22;0;0;0;11;0;0;0;0;0;0;0;11;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
1,6,1779795509.069,1779795524.271,15.202,127.0.0.1,15336,127.0.0.1,443,91,TLS,www.cloudflare.com,14,3125,2389,13,4378,3694,-0.167,Mixed,76.4,84.4,4,2532.8,15010,5580.1,0,1373.5,15010,4312.3,0,1519.7,15010,4496.9,41,223.2,1396,369.2,41,336.8,1548,521.0,0,0,0,26,10,0,2,0,0,0,0,13,5,0,1,0,0,0,0,26,10,0,2,0,60,60,,TLSv1.3,b5001237acdf006056b409cc433726b0,OK,f4febc55ea12b31ae17cfb7e614afda8,OK,h2;http/1.1,,,,h2;http/1.1,25;0;16;8;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;8;0
5,6,1779795510.172,1779795527.011,16.839,127.0.0.1,15342,127.0.0.1,443,91,TLS,www.cloudflare.com,13,1833,1149,12,3900,3268,-0.361,Download,62.6,83.8,1,4209.0,15010,6269.0,0,1518.3,15010,4497.5,0,202.9,1653,515.5,41,141.0,718,179.8,41,325.0,1556,552.7,0,0,0,24,9,0,2,0,0,0,0,12,5,0,1,0,0,0,0,24,9,0,2,0,60,60,,TLSv1.3,b5001237acdf006056b409cc433726b0,OK,f4febc55ea12b31ae17cfb7e614afda8,OK,h2;http/1.1,,,,h2;http/1.1,27;0;18;9;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9
9,6,1779795514.029,1779795529.213,15.184,127.0.0.1,15348,127.0.0.1,443,91,TLS,www.cloudflare.com,14,3227,2491,13,4118,3434,-0.121,Mixed,77.2,83.4,1,3794.8,15010,6475.2,0,1371.3,15010,4313.0,0,1517.9,15010,4497.5,41,230.5,1556,405.6,41,316.8,1548,464.5,0,0,0,26,10,0,2,0,0,0,0,13,5,0,1,0,0,0,0,26,10,0,2,0,60,60,,TLSv1.3,b5001237acdf006056b409cc433726b0,OK,f4febc55ea12b31ae17cfb7e614afda8,OK,h2;http/1.1,,,,h2;http/1.1,25;0;16;0;0;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8
13,6,1779795515.110,1779795532.098,16.988,127.0.0.1,15354,127.0.0.1,443,91,TLS,www.cloudflare.com,14,2025,1289,13,3536,2852,-0.272,Download,63.6,80.6,2,4246.2,15011,6254.2,0,1380.9,15011,4310.5,0,1698.5,15011,4469.2,41,144.6,718,179.6,41,272.0,1548,417.0,0,0,0,26,10,0,2,0,0,0,0,13,5,0,1,0,0,0,0,26,10,0,2,0,60,60,,TLSv1.3,b5001237acdf006056b409cc433726b0,OK,f4febc55ea12b31ae17cfb7e614afda8,OK,h2;http/1.1,,,,h2;http/1.1,25;0;16;0;0;0;0;25;0;0;0;0;0;0;0;0;0;16;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
19,6,1779795520.027,1779795535.247,15.220,127.0.0.1,15372,127.0.0.1,443,91,TLS,www.cloudflare.com,14,2667,1931,13,3748,3064,-0.169,Mixed,72.4,81.7,1,3043.2,15009,5983.1,0,1375.2,15009,4311.5,0,1521.6,15009,4496.0,41,190.5,996,281.6,41,288.3,1548,433.2,0,0,0,26,10,0,2,0,0,0,0,13,5,0,1,0,0,0,0,26,10,0,2,0,60,60,,TLSv1.3,b5001237acdf006056b409cc433726b0,OK,f4febc55ea12b31ae17cfb7e614afda8,OK,h2;http/1.1,,,,h2;http/1.1,25;0;16;0;0;8;0;8;0;0;0;0;0;0;0;0;0;8;0;0;8;0;0;8;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
22,6,1779795522.506,1779795526.374,3.868,127.0.0.1,11201,127.0.0.1,9080,172,SOCKS,,9,646,170,8,891,467,-0.159,Mixed,26.3,52.4,13,966.2,3155,1276.6,0,526.3,3155,1087.7,0,644.2,3155,1137.5,52,71.8,201,46.0,52,111.4,507,149.6,0,0,0,16,6,0,2,1,0,0,0,8,3,0,1,1,0,0,0,16,6,0,2,1,60,60,,0,,0,,0,,,,,,66;0;0;0;16;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,6,1779795509.046,1779795524.770,15.724,127.0.0.1,15335,127.0.0.1,9080,172,SOCKS,,11,755,163,10,1216,700,-0.234,Download,21.6,57.5,89,3930.0,15007,6397.4,0,73.9,502,164.4,0,1965.0,15007,4932.0,52,68.6,194,40.1,41,121.6,734,204.2,0,0,0,20,7,0,2,1,0,0,0,10,3,0,1,1,0,0,0,20,7,0,2,1,60,60,,0,,0,,0,,,,,,75;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,6,1779795510.079,1779795528.712,18.633,127.0.0.1,15341,127.0.0.1,9080,172,SOCKS,,10,706,166,9,1013,549,-0.179,Mixed,23.5,54.1,13,3726.0,15006,5682.7,0,2297.0,15006,4855.5,0,2661.4,15006,5089.2,52,70.6,197,42.6,41,112.6,588,168.2,0,0,0,18,6,0,2,1,0,0,0,9,3,0,1,1,0,0,0,18,6,0,2,1,60,60,,0,,0,,0,,,,,,71;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8,6,1779795514.014,1779795529.726,15.712,127.0.0.1,15347,127.0.0.1,9080,172,SOCKS,,11,755,163,10,1216,700,-0.234,Download,21.6,57.5,13,3141.4,15008,5936.0,0,77.9,515,168.0,0,1963.5,15008,4933.0,52,68.6,194,40.1,41,121.6,734,204.2,0,0,0,20,7,0,2,1,0,0,0,10,3,0,1,1,0,0,0,20,7,0,2,1,60,60,,0,,0,,0,,,,,,75;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
