---------------------------------------------------------------------------------------------------
Date: 5/26/2026 -- 06:34:25 (uptime: 0d, 00h 00m 00s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 1117
decoder.bytes                                                | Total                     | 194126
decoder.ipv4                                                 | Total                     | 1117
decoder.null                                                 | Total                     | 1117
decoder.tcp                                                  | Total                     | 1117
tcp.syn                                                      | Total                     | 53
tcp.synack                                                   | Total                     | 53
tcp.rst                                                      | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 173
decoder.max_pkt_size                                         | Total                     | 1560
flow.total                                                   | Total                     | 53
flow.tcp                                                     | Total                     | 53
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
flow.wrk.flows_evicted_needs_work                            | Total                     | 53
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 105
flow.wrk.flows_injected                                      | Total                     | 53
tcp.sessions                                                 | Total                     | 53
tcp.ssn_from_pool                                            | Total                     | 53
tcp.segment_from_cache                                       | Total                     | 247
tcp.segment_from_pool                                        | Total                     | 165
detect.alerts_suppressed                                     | Total                     | 24
app_layer.flow.http                                          | Total                     | 1
app_layer.tx.http                                            | Total                     | 1
app_layer.flow.tls                                           | Total                     | 26
app_layer.flow.dcerpc_tcp                                    | Total                     | 24
flow.end.state.established                                   | Total                     | 49
flow.end.state.closed                                        | Total                     | 4
flow.end.tcp_state.established                               | Total                     | 25
flow.end.tcp_state.close_wait                                | Total                     | 24
flow.end.tcp_state.closed                                    | Total                     | 4
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 27
flow.mgr.flows_notimeout                                     | Total                     | 27
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 622592
tcp.reassembly_memuse                                        | Total                     | 114688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
