---------------------------------------------------------------------------------------------------
Date: 5/24/2026 -- 17:23:40 (uptime: 0d, 00h 00m 00s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 1295
decoder.bytes                                                | Total                     | 222988
decoder.ipv4                                                 | Total                     | 1295
decoder.null                                                 | Total                     | 1295
decoder.tcp                                                  | Total                     | 1295
tcp.syn                                                      | Total                     | 60
tcp.synack                                                   | Total                     | 60
tcp.rst                                                      | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 172
decoder.max_pkt_size                                         | Total                     | 1560
flow.total                                                   | Total                     | 67
flow.tcp                                                     | Total                     | 67
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
flow.wrk.flows_evicted_needs_work                            | Total                     | 60
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 119
flow.wrk.flows_injected                                      | Total                     | 60
tcp.sessions                                                 | Total                     | 60
tcp.ssn_from_pool                                            | Total                     | 60
tcp.segment_from_cache                                       | Total                     | 284
tcp.segment_from_pool                                        | Total                     | 183
detect.alerts_suppressed                                     | Total                     | 28
app_layer.flow.http                                          | Total                     | 1
app_layer.tx.http                                            | Total                     | 1
app_layer.flow.tls                                           | Total                     | 30
app_layer.flow.dcerpc_tcp                                    | Total                     | 27
flow.end.state.new                                           | Total                     | 7
flow.end.state.established                                   | Total                     | 56
flow.end.state.closed                                        | Total                     | 4
flow.end.tcp_state.established                               | Total                     | 29
flow.end.tcp_state.close_wait                                | Total                     | 27
flow.end.tcp_state.closed                                    | Total                     | 4
flow.mgr.full_hash_pass                                      | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 39
flow.mgr.flows_notimeout                                     | Total                     | 39
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 7
flow.recycler.queue_max                                      | Total                     | 7
tcp.memuse                                                   | Total                     | 622592
tcp.reassembly_memuse                                        | Total                     | 114688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
